id,symbol,created_at,exchanges,category,logoUrl,volatility_index,hurst_4h,hurst_8h,hurst_12h,hurst_1d,efficiency_index,trend_harmony_index,btc_correlation,returns_skewness,avg_wick_ratio,relative_strength_vs_btc,max_drawdown_percent,entropy,kurtosis,autocorrelation,entropy_4h,entropy_8h,entropy_12h,entropy_1d
1,TWT/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",5,twt.png,9.144,0.6233,0.6502,0.5926,0.7111,0.2702,0.0667,0.055,1.9856,5.5731,1.4054,-18.6,,8.5668,0.251,1.1990477,1.7494831,2.0908,1.9769495
2,WAL/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",2,wal.png,5.7857,0.5534,0.5693,0.5554,0.5528,0.02,0.0,0.0602,0.2937,6.0991,0.6488,-24.24,,-0.0039,-0.072,2.430757,2.6018703,2.5904927,2.9980268
3,COTI/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",4,coti.png,7.0292,0.587,0.6154,0.6109,0.5991,0.0245,0.0444,0.0076,0.1541,2.8786,0.6392,-35.96,,0.0445,-0.1742,2.269024,2.3272543,2.5210745,2.9153433
4,HBAR/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",6,hbar.png,5.5351,0.6246,0.6634,0.6459,0.648,0.0188,0.0,0.0042,1.4761,3.5065,0.7397,-28.9,,5.3696,-0.0974,2.006995,2.157822,2.3540297,2.356383
5,GPS/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",5,gps.png,12.35,0.6306,0.6352,0.6825,0.6827,0.1804,0.1111,0.0609,2.2392,8.5175,0.3784,-61.85,,11.9301,0.0738,1.1683332,1.3862247,1.4671426,2.0800068
6,KMNO/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],3,kmno.png,10.6364,0.478,0.4699,0.4542,0.4465,0.0498,0.1333,0.1673,1.5178,3.3404,0.8401,-33.08,,7.5998,-0.0696,1.7248508,1.9996387,2.1722667,2.2192395
7,1000SATS/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],4,1000sats.png,13.0645,0.4979,0.5108,0.4714,0.3662,0.0444,0.0222,0.0193,0.4548,inf,0.5738,-34.87,,2.5303,0.0053,0.59105563,1.1178157,2.056923,2.4686832
8,ICP/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",4,icp.png,5.1779,0.4415,0.4351,0.4097,0.4002,0.0832,0.0667,0.0036,-0.2998,3.8815,0.5572,-33.57,,0.1704,-0.1097,2.4264207,2.676941,2.3903232,2.826545
9,HYPE/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",6,hype.png,7.8671,0.7354,,0.8481,0.9385,0.0212,0.0667,-0.0654,0.4668,2.366,0.645,-31.08,,0.4068,-0.1477,2.4357135,,2.8840528,2.818901
10,EPIC/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",3,epic.png,12.6718,0.698,0.7137,0.7201,0.6746,0.0499,0.0444,-0.0884,4.9012,6.7911,1.0882,-50.05,,35.0936,-0.1328,1.089838,1.3537434,1.2902004,1.5777624
11,KAITO/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",5,kaito.png,10.3959,0.67,0.7169,0.6889,0.6943,0.0517,0.1111,0.0432,0.7393,5.8451,0.579,-44.95,,1.3485,0.1332,1.3430603,1.7028326,2.084595,2.7313654
12,PORTAL/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],1,portal.png,9.0547,0.6721,0.6967,0.7058,0.7155,0.1051,0.0,0.0513,-0.0406,11.3213,0.4622,-40.66,,0.7602,-0.1209,2.3005152,2.2198346,2.4821944,2.8204343
13,UXLINK/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],6,uxlink.png,18.5421,0.7993,0.8441,0.7998,1.0293,0.3205,0.0111,-0.0337,-5.1745,3.8085,0.1396,-84.72,,35.6752,0.3136,0.51131105,0.7650682,1.2481809,1.1762649
14,1INCH/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",3,1inch.png,5.7644,0.625,0.6465,0.5908,0.6343,0.0974,0.0889,0.0496,0.0938,5.2294,0.5339,-36.29,,0.2752,-0.1484,1.972096,2.0798516,2.3042119,2.9354932
15,AUCTION/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],2,auction.png,5.2184,0.5437,0.5435,0.5561,0.5873,0.0742,0.0889,0.0751,0.4096,5.3621,0.5645,-30.73,,3.8658,-0.1465,1.1049976,1.3772458,1.5484742,2.318055
16,FLOW/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],4,flow.png,5.5873,0.5027,0.5066,0.4719,0.4191,0.0233,0.0889,0.0433,0.1828,inf,0.6477,-24.5,,0.855,-0.1819,2.2012236,2.5639174,2.2477746,2.7580948
