symbol,full_symbol,exchanges,logoUrl,volume_24h_usd,category,analyzed_at,hurst_1h,hurst_2h,hurst_4h,hurst_12h,hurst_1d,entropy_1h,entropy_2h,entropy_4h,entropy_12h,entropy_1d,trend_quality_1h_w20,trend_quality_2h_w20,trend_quality_4h_w20,trend_quality_12h_w20,trend_quality_1d_w20,mr_quality_1h_w20,mr_quality_2h_w20,mr_quality_4h_w20,mr_quality_12h_w20,mr_quality_1d_w20,swing_quality_1h_w5,swing_quality_2h_w5,swing_quality_4h_w5,swing_quality_12h_w5,swing_quality_1d_w5,movement_efficiency_1h,movement_efficiency_2h,movement_efficiency_4h,movement_efficiency_12h,movement_efficiency_1d,fractal_dimension_1h,fractal_dimension_2h,fractal_dimension_4h,fractal_dimension_12h,fractal_dimension_1d,adx_above_25_pct_90d_1h,adx_above_25_pct_90d_2h,adx_above_25_pct_90d_4h,adx_above_25_pct_90d_12h,adx_above_25_pct_90d_1d,di_plus_dominant_pct_90d_1h,di_plus_dominant_pct_90d_2h,di_plus_dominant_pct_90d_4h,di_plus_dominant_pct_90d_12h,di_plus_dominant_pct_90d_1d,smoothness_index_1h_w20,smoothness_index_2h_w20,smoothness_index_4h_w20,smoothness_index_12h_w20,smoothness_index_1d_w20,skewness_1h_w50,skewness_2h_w50,skewness_4h_w50,skewness_12h_w50,skewness_1d_w50,kurtosis_1h_w50,kurtosis_2h_w50,kurtosis_4h_w50,kurtosis_12h_w50,kurtosis_1d_w50,movement_intensity_1h_w14,movement_intensity_2h_w14,movement_intensity_4h_w14,movement_intensity_12h_w14,movement_intensity_1d_w14,atr_stability_1h_w14,atr_stability_2h_w14,atr_stability_4h_w14,atr_stability_12h_w14,atr_stability_1d_w14,mci_1h,mci_2h,mci_4h,mci_12h,mci_1d,jagginess_1h_w20,jagginess_2h_w20,jagginess_4h_w20,jagginess_12h_w20,jagginess_1d_w20,btc_corr_1d_w30,btc_corr_stability_current_correlation,btc_corr_stability_correlation_std,btc_corr_stability_correlation_stability_score
SUPER/USDT:USDT,SUPER/USDT:USDT:USDT,"['binanceusdm', 'bybit']",super.png,8432857.3235,3,2025-11-03 23:09:39.500709+00:00,0.2737539406376342,0.33588683858709356,0.3543342093050234,0.26563277479274466,0.5449036188238733,1.095587674034575,0.5177304202595104,0.5686460253902358,0.8831323168314986,2.069916295859567,0.42929825179420605,0.4101108551924726,0.40447294364793707,0.39218729339887076,0.4187833345011248,0.8361007636896015,0.7827274024219141,0.6609757671867363,0.48062104441394177,0.780092863896003,0.6912796946346773,0.5837616412204288,0.5463732524202916,0.16049040293714983,0.14906566437079646,-0.1459580838323354,-0.25013082155939315,-0.15957913195966691,-0.14488935721812438,-0.23396727111897395,0.869215001182625,0.7943323386375051,0.8080523316742348,0.7470784070321463,0.7496298421760801,35.55555555555556,57.77777777777777,27.77777777777778,67.77777777777779,52.22222222222223,36.666666666666664,22.22222222222222,36.666666666666664,30.0,20.0,0.9470080267175629,0.9421969461953213,0.9465490453845051,0.9427382213428914,0.7834228087487912,-1.9044414408039232,-0.8862051273606413,-1.5214764217278596,-2.6193232472761303,-0.35410959246052287,10.756061074233031,4.796221386159079,6.916997271800689,15.110080862434216,10.25220824881109,0.004438345894287776,0.00594520431013929,0.00620767461434833,0.010859556887265625,0.017462189342896034,0.12459253336356323,0.16826110706389494,0.1443971852946148,0.0693390325771515,0.14890687785711976,-0.2816421727919042,-0.1702395497572534,-0.16021056941713344,-0.21163638815726174,0.07169832550541855,0.5116175760037537,0.48069837266993687,0.5938752316025251,0.5477719419486093,0.6009222522466064,0.8998297861225303,0.8998297861225303,0.12280730252007893,0.8771926974799211
TON/USDT:USDT,TON/USDT:USDT:USDT,"['binanceusdm', 'bybit']",ton.png,94814260.61367,6,2025-11-03 23:09:55.536436+00:00,0.3249563912983438,0.245394699271995,0.34875286570197167,0.11115604029535243,0.4997561457513199,1.0446276153952438,0.5201956343806486,1.050867368795395,1.5392856374914448,1.8925802362241917,0.40469034523555547,0.39499230840311733,0.40371822798018053,0.43977096627556345,0.3791697165573852,0.8543484866259189,0.8066827168634232,0.7879826743500322,0.7200962478438897,0.7367637649430717,0.44687961286075517,0.7180651160625164,0.6519874642076184,0.3637363469290402,0.3638876430455409,-0.0622858922454064,-0.09524078360526156,-0.057958358229535344,-0.23263153523524766,-0.20353387136219128,0.8020266665654503,0.7914752080950828,0.7640172233356728,0.7426673866176763,0.6929865488557079,70.0,70.0,3.3333333333333335,86.66666666666667,60.0,60.0,62.22222222222222,48.888888888888886,10.0,24.444444444444443,0.9601678328797812,0.9575315200100489,0.9530049465775826,0.9644646242095938,0.8930111890798205,-2.6218936046769428,-0.4161955107498912,-0.6037731403271465,-3.481127674331084,-3.4535601964917717,14.205832299122221,6.447646816228424,5.788394519454442,22.035350298336688,20.526207316531952,0.02254571610846078,0.029447630894148136,0.032189089350802884,0.05681950113711445,0.07459732693960369,0.2055621805186058,0.22371874906194136,0.11849065903466001,0.04141926122108358,0.10511475660782067,-0.18632532889110734,-0.2607469734882711,-0.13767818444131574,-0.3664381318842052,0.06193927884187946,0.5338502061831399,0.5501611635049148,0.5752958254387772,0.5750042056727086,0.6214066176492494,0.8463160759048848,0.8463160759048848,0.037573290940509145,0.9624267090594909
1000000MOG/USDT:USDT,1000000MOG/USDT:USDT:USDT,"['binanceusdm', 'bybit']",1000000mog.png,19328004.24411,4,2025-11-03 23:10:07.318767+00:00,0.3221113604968112,0.32565785906116185,0.3414283928832315,0.2782388591762738,0.5421595061336513,1.0987437585143576,1.2504398459027064,1.6337772490601619,1.7340219935084795,2.2389580631646933,0.411502957177548,0.4607111190651182,0.47175588132862833,0.43606761229074453,0.38474396738700994,0.8815189404590656,0.8698514800875189,0.8507770757001167,0.8492240742207243,0.8276351971498123,0.6860439920517436,0.8315989265849844,0.821767233872986,0.31463406725472687,0.33123124667062176,-0.019972708100731932,-0.1051735150095806,-0.0590277777777778,-0.2130258867894882,-0.25737270754097047,0.9112515746922214,0.8502790637490458,0.8887254746351085,0.8258927155289385,0.8199953518354433,67.77777777777779,43.333333333333336,41.11111111111111,88.88888888888889,34.44444444444444,40.0,35.55555555555556,45.55555555555556,23.333333333333332,33.33333333333333,0.9487267472356926,0.9103282670913674,0.9005864023721694,0.920286424080154,0.7133657962899719,-0.7735439677984537,0.7312895511666644,-0.7697382548933186,-1.9670857318067243,-0.6755425151762778,7.99377835041641,8.997361633536404,7.440582632393011,15.786103457747824,8.911100259794285,0.008194123888555283,0.01129676123090769,0.014249544045427135,0.03212651607997104,0.04763871186321637,0.07580693974765189,0.05967938273223053,0.09828108834699882,0.1773938925517742,0.10254077227334059,-0.25924438829366264,-0.21654056929529852,-0.22509332302758056,-0.24929502937164613,0.023792114579906876,0.4650656497970266,0.5571152244330084,0.5138737904783973,0.5042835117731579,0.555336680377098,0.7108912378036454,0.7108912378036454,0.10154042406396627,0.8984595759360338
RAYSOL/USDT:USDT,RAYSOL/USDT:USDT:USDT,['binanceusdm'],raysol.png,16410837.61614,4,2025-11-03 23:10:53.851778+00:00,0.2788651272417787,0.2781998318362437,0.4377812901996483,0.19924107163200666,0.5476100553535475,1.4224067104241234,1.2581417724313666,1.3993621300425885,2.1448554989576643,2.439408073406227,0.4360951965330132,0.4447262293330291,0.45703659424933896,0.4791852753501275,0.4123871637209277,0.8870069484819141,0.8706692047479074,0.8608882909739833,0.8301081410196094,0.8401329341612017,0.7183279693644539,0.8447337756995087,0.7492414946605723,0.46848886910998244,0.17143380869183233,-0.15746578502229752,-0.22539893617021284,-0.15458184116283963,-0.2750986634585759,-0.13431836656625068,0.8707619789315578,0.8454267755594462,0.8213537516181524,0.8217505439525072,0.7724906765051598,30.0,47.77777777777778,31.11111111111111,84.44444444444444,55.55555555555556,25.555555555555554,21.11111111111111,34.44444444444444,14.444444444444443,48.888888888888886,0.9457493577729004,0.9401030648040598,0.9395968218404971,0.93217656893868,0.756889878818927,-1.773860348164888,-1.0709362975028447,-1.2887715333927687,-2.534421224044375,-1.6831102002589002,10.187213567098055,5.26713245652809,6.120360723861846,14.773857520603075,9.664669773392438,0.020200112215335637,0.02888377204534447,0.028733860921482054,0.05603750997329502,0.08206898550040383,0.15386513306789143,0.17938565831260056,0.11767911955891519,0.060780100509278435,0.11155390904243191,-0.2774183286602249,-0.2618566865408929,-0.08358703811769884,-0.3272497784716946,0.0598056144534782,0.5231585539459351,0.4518188881201777,0.5573264443702077,0.5044380844083498,0.5756658035075858,0.9126704506125569,0.9126704506125569,0.0856822658609118,0.9143177341390882
EIGEN/USDT:USDT,EIGEN/USDT:USDT:USDT,"['binanceusdm', 'bybit']",eigen.png,101177452.71016,6,2025-11-03 23:11:04.606846+00:00,0.29439216881387975,0.4285262690256658,0.5010953238010712,0.41835064636607855,0.7380095245389694,1.266087290448058,1.1356790295674988,1.551198621421767,2.0403062467864745,2.0694843248898134,0.3786741614067443,0.3975318084987698,0.4115085881348596,0.37647395087185204,0.388193662903203,0.8546487404081411,0.8526964818944247,0.8507555640921372,0.7739267779271667,0.7568842223091395,0.7682399167691754,0.7064989025414237,0.5120073661568745,0.08083464944901883,0.04672197000694953,-0.1811720843527903,-0.26926501815192816,-0.19631901840490806,-0.13700316855740344,-0.07728494623655917,0.8979366096858413,0.8242464161798684,0.8242264016320263,0.7585918533978493,0.8952105587131048,70.0,53.333333333333336,28.888888888888886,66.66666666666666,55.55555555555556,0.0,11.11111111111111,30.0,42.22222222222222,60.0,0.9482731339087006,0.9377694607157795,0.9108225519783972,0.8839125188740252,0.7136049821129652,-1.2374517276401258,0.0744434381618822,-1.4644483278907285,-2.9026459987139472,-1.2620980581190857,9.4659968040536,5.15853652215754,6.4808787162123345,18.057680930125905,9.197199001172955,0.013899366633494807,0.019189001968492065,0.019676282648534785,0.03567379038277907,0.06392032430863238,0.14517286756746414,0.12461627457284798,0.061490067961785445,0.07499077406666416,0.10856834389571055,-0.2789940437875929,-0.09488520942976994,-0.020822323698138807,-0.06318223966431825,0.17542419593272474,0.5457287524933948,0.507293834857476,0.6100708446640034,0.5288887721526582,0.5599902919990616,0.762107647035134,0.762107647035134,0.22008934614142264,0.7799106538585774
MASK/USDT:USDT,MASK/USDT:USDT:USDT,['binanceusdm'],mask.png,9432856.4434,3,2025-11-03 23:11:38.844855+00:00,0.2557132087254436,0.3254797493147898,0.49670685377306156,0.20742368679149936,0.3030316658885676,0.4651249085493231,0.8873277590552073,1.0469266557356949,1.5161543240278574,1.597380600083214,0.42045388435314573,0.41484275085078015,0.36394330884759213,0.31883955503031486,0.4200059326276195,0.8607614445564705,0.8225279333756189,0.8188212386065863,0.7179735913219716,0.8176834787400479,0.7108957668412519,0.7779958689206995,0.6809290134119496,0.3935408055855909,0.07300635913321021,-0.0522483160385947,-0.15890890890890894,-0.1284452484835586,-0.2135270626221429,-0.18284164680746168,0.8478551366855454,0.7812882877501373,0.7528639321603222,0.7319156764354323,0.782215547402106,47.77777777777778,30.0,46.666666666666664,57.77777777777777,33.33333333333333,54.44444444444444,30.0,18.88888888888889,16.666666666666664,12.222222222222221,0.9557162210621604,0.9517930855446634,0.9556489638551987,0.9615536848947542,0.8187494861129135,-2.3961576519567878,-1.1818190831021578,-1.5672459333314874,-4.630757453869809,-3.8609388340818214,13.571910653175966,6.556372104404778,6.426858887505966,30.873114714412505,24.11027945481295,0.01041706165625053,0.014515338253255542,0.014790917058587238,0.0237554940407862,0.03561358340479649,0.1800292471689491,0.18039022770810723,0.16478796137134633,0.03656450871674258,0.11315027094085638,-0.28635886207492306,-0.1724974575248969,0.020444818399306845,-0.26131371762950334,-0.19599806231547512,0.5494559685988791,0.4592878864648345,0.5414409029512155,0.5112943315153256,0.5555752518812932,0.8441236175578292,0.8441236175578292,0.07999877920507556,0.9200012207949244
ALGO/USDT:USDT,ALGO/USDT:USDT:USDT,"['binanceusdm', 'bybit']",algo.png,49564546.0329,5,2025-11-03 23:12:00.895673+00:00,0.44802115732397124,0.4377051107900107,0.48842860139871375,0.39957994984712497,0.5416811734687792,1.0078936355541077,0.8034200929730061,1.6241226400061626,1.9459301748843278,2.1881729231680587,0.3981362290753922,0.3928995921657555,0.36523541092257045,0.40006910647538246,0.39636700479517006,0.8454356910184259,0.8009751261621514,0.7621445796544633,0.6372729246877366,0.8330769609631238,0.4702659428374885,0.5774512192139589,0.6184249440558128,0.4069101717091022,0.048643183286670284,-0.11611161116111612,-0.17640449438202263,-0.10402999062792877,-0.16286215978928892,-0.16912448518666137,0.7676393554505433,0.7509571595702027,0.7403813733947762,0.7059256670391655,0.7360157155734977,27.77777777777778,27.77777777777778,18.88888888888889,82.22222222222221,33.33333333333333,46.666666666666664,11.11111111111111,34.44444444444444,22.22222222222222,20.0,0.9606032559679496,0.9554815749769114,0.9578159436176313,0.9576429358976721,0.9078623199054627,-2.6169103767461332,-1.1811124184269828,-0.6358965282870278,-2.625949232376333,-1.8088017007604484,14.78022162403298,6.022758205684482,4.516599743267655,15.582053670069843,10.679369909011104,0.0019012591159532114,0.0026694445438235474,0.002473203604526274,0.004083323356234967,0.006082601140030097,0.1832013241214635,0.18125446912977056,0.12903025934254012,0.05329409756259765,0.09591407191989548,-0.0387058888776408,-0.038538751665608294,0.01999926233327632,-0.048575635751482986,0.0771371201918288,0.5489343465876717,0.4643949481716384,0.6578052174805677,0.6210466881461068,0.5973852349973837,0.8741264940992807,0.8741264940992807,0.04306365863627208,0.956936341363728
ONE/USDT:USDT,ONE/USDT:USDT:USDT,['binanceusdm'],one.png,8196452.44937,3,2025-11-03 23:12:27.672918+00:00,0.2884629843335663,0.31482843794638216,0.4829375777917649,0.2878780899173075,0.5225254654762316,0.7584755492291816,0.625878125711115,1.0127451687969922,1.5028242348088676,2.0685001713758133,0.39189714027478834,0.4087026592819554,0.39522477376463033,0.43811788354215914,0.3869425884652969,0.9022020096124598,0.8699389738539094,0.8197606361101876,0.7224067133075482,0.7478415813029962,0.5604367597215806,0.7697887592551471,0.7021366243390368,0.236257019400097,0.35536411516739913,-0.1048387096774193,-0.248587570621469,-0.17733473242392442,-0.23407917383821006,-0.19470699432892255,0.8642226971824171,0.8083381408442727,0.7784615467505924,0.7836861194692255,0.7667295835573612,44.44444444444444,60.0,64.44444444444444,87.77777777777777,26.666666666666668,32.22222222222222,16.666666666666664,18.88888888888889,14.444444444444443,24.444444444444443,0.9415310983273232,0.9382146757343335,0.9416237767473702,0.9196780486319258,0.8006810171093277,-2.407805596056652,-1.1365465923095566,-0.913972934725687,-4.055931130690386,-2.9494736934449413,13.617629878967142,5.8782122457419765,5.477031622066692,27.304440007466873,18.922994829344816,7.970498026138649e-05,0.0001139077885770042,0.0001367306937909785,0.00020173641090337366,0.00030673059286803436,0.15786033776863176,0.17626614757090042,0.15049951454089291,0.04368759493484562,0.10390623390570285,-0.2634327496588208,-0.20070579201401823,-0.010014190515716462,-0.2124035693412096,0.0379021024703737,0.5432174782848189,0.4682790301167848,0.5018670336930503,0.5458946193606582,0.6402069652286548,0.8260386616673735,0.8260386616673735,0.080853116883503,0.9191468831164971
BTC/USDT:USDT,BTC/USDT:USDT:USDT,"['binanceusdm', 'bybit']",btc.png,17992238745.22,6,2025-11-03 23:12:42.699355+00:00,0.35513187256985856,0.4421960433289374,0.5569872915158091,0.5375178657476213,0.6213399878978446,1.7875178495875574,1.6421251197696671,1.9576964303992572,2.2692673414461253,2.368976302906441,0.41846394861730196,0.4380421708276915,0.4701569629395629,0.5095350734743598,0.3553369921787358,0.8571757699225779,0.8552255112048828,0.8487278674637603,0.8743149559076445,0.7823034803646476,0.7362641531040929,0.5834431889278345,0.35916662577834246,0.16706610181252157,0.1949464025133067,-0.02140976104308653,-0.13531578122551352,-0.006329299336541426,-0.07696251915842268,-0.07978611464706603,0.7239749758065547,0.6602539745102762,0.6421692410699418,0.5783068122753728,0.724763213705726,27.77777777777778,51.11111111111111,53.333333333333336,72.22222222222221,24.444444444444443,61.111111111111114,42.22222222222222,51.11111111111111,41.11111111111111,46.666666666666664,0.9852839448717879,0.9846754032618257,0.985803985931179,0.9733529956755402,0.9533003881486567,-1.6309935588154783,-0.41338760551637826,-0.6093812754012029,-1.719122099243935,-0.8831575443376861,10.689807611032986,5.66188055587679,3.786767148009849,8.815110486106672,5.439167676618069,503.91138665665613,676.1714989286888,807.9972517112614,1148.1513387671466,1667.743833769193,0.1578006226873895,0.16664615970545665,0.07916436437321614,0.05070190398572811,0.0536214549606038,-0.10550088636933817,0.02418689990389305,0.15291360447155888,0.17398429783910507,0.16563476693421383,0.5985168058750217,0.5290393277949679,0.579358598347387,0.5713905651510401,0.5527529112114239,0.9999748387050271,0.9999748387050271,1.1056383877785127e-05,0.9999889436161222
AKT/USDT:USDT,AKT/USDT:USDT:USDT,['binanceusdm'],akt.png,6655061.2229,2,2025-11-03 23:12:55.686536+00:00,0.27799554954955513,0.31738738721294507,0.43047427603634447,0.2360175402568775,0.4792801223199509,0.9611629115172818,1.1067530694637622,1.0543923747928308,1.309019352818972,1.7581440496038403,0.4586265301464214,0.3877877393013912,0.3927701945431346,0.5034173401152898,0.4562696908526959,0.8843201346887434,0.870835274465637,0.819620827527018,0.7528468093792555,0.8116295642419866,0.7373414240336591,0.8758741018396191,0.8410465271348335,0.5518964399748587,0.6459313814382173,-0.15231603839198773,-0.22616487455197135,-0.04452433628318586,-0.21624908781318417,-0.22172513503191674,0.8448404783029926,0.8025710228234071,0.7816240573683709,0.7777377058718605,0.8356171868127611,30.0,42.22222222222222,68.88888888888889,74.44444444444444,41.11111111111111,32.22222222222222,40.0,43.333333333333336,26.666666666666668,28.888888888888886,0.9566963127731253,0.9410443471864416,0.9380574385736665,0.8840887419871514,0.785733445420592,-0.7407319198624546,-0.6627502182953121,1.2816317693528358,-0.07682976719225713,-0.03890999007662424,3.7146233098521595,3.3664691628843286,9.370702032779235,12.862848826488172,11.274849576479472,0.009157852562330059,0.013437195678289321,0.014383443197469304,0.030067922342064707,0.04458512641288181,0.0786817607759513,0.06128658053509378,0.03267450310236632,0.04328338159969135,0.09204829976185006,-0.2616893062791907,-0.19439774876683974,-0.06557542229481036,-0.2615094119268017,-0.050384518745017315,0.4771503985845674,0.4383337309628807,0.6168645466887231,0.46959918571624754,0.5841345820262219,0.7808492282120582,0.7808492282120582,0.0648500619896924,0.9351499380103077
